Numer profilu,Marka,Zawartość cukru,Rodzaj opakowania,Smak
1,Marka własna supermarketu,Zero cukru,Puszka aluminiowa,Owocowy
2,Marki rzemieślnicze,Pełnocukrowa,Plastikowa butelka,Wanilia
3,Marka własna supermarketu,Zero cukru,Szklana butelka,Owocowy
4,Pepsi,Pełnocukrowa,Szklana butelka,Owocowy
5,Marka własna supermarketu,Zero cukru,Szklana butelka,Klasyczny
6,Coca-Cola,Pełnocukrowa,Puszka aluminiowa,Klasyczny
7,Coca-Cola,Zero cukru,Plastikowa butelka,Owocowy
8,Coca-Cola,Pełnocukrowa,Szklana butelka,Owocowy
9,Pepsi,Zero cukru,Plastikowa butelka,Wanilia
10,Marki rzemieślnicze,Zero cukru,Plastikowa butelka,Owocowy
11,Pepsi,Pełnocukrowa,Puszka aluminiowa,Klasyczny
12,Coca-Cola,Zero cukru,Szklana butelka,Wanilia
13,Pepsi,Zero cukru,Puszka aluminiowa,Wanilia
14,Coca-Cola,Pełnocukrowa,Szklana butelka,Wanilia
